SuburbPostCodeKey,PostCodeNew,Suburb,City,State,State_Code,Latitude,Longitude,LatLong
"2550-Stony Creek","2550","Stony Creek","Sydney","New South Wales","NSW",-36.617312,149.801981,"-36.617312,149.801981"
"2550-Tanja","2550","Tanja","Sydney","New South Wales","NSW",-36.627881,149.933291,"-36.627881,149.933291"
"2550-Tantawangalo","2550","Tantawangalo","Sydney","New South Wales","NSW",-36.79455,149.594037,"-36.79455,149.594037"
"2550-Tarraganda","2550","Tarraganda","Sydney","New South Wales","NSW",-36.667587,149.866664,"-36.667587,149.866664"
"2550-Tathra","2550","Tathra","Sydney","New South Wales","NSW",-36.729728,149.985917,"-36.729728,149.985917"
"2550-Toothdale","2550","Toothdale","Sydney","New South Wales","NSW",-36.7906,149.764434,"-36.7906,149.764434"
"2550-Towamba","2550","Towamba","Sydney","New South Wales","NSW",-37.087978,149.652672,"-37.087978,149.652672"
"2550-Verona","2550","Verona","Sydney","New South Wales","NSW",-36.465045,149.8207,"-36.465045,149.8207"
"2550-Wallagoot","2550","Wallagoot","Sydney","New South Wales","NSW",-36.788248,149.917603,"-36.788248,149.917603"
"2550-Wandella","2550","Wandella","Sydney","New South Wales","NSW",-36.299399,149.848665,"-36.299399,149.848665"
"2550-Wapengo","2550","Wapengo","Sydney","New South Wales","NSW",-36.594545,150.018276,"-36.594545,150.018276"
"2550-Wolumla","2550","Wolumla","Sydney","New South Wales","NSW",-36.831995,149.811442,"-36.831995,149.811442"
"2550-Yambulla","2550","Yambulla","Sydney","New South Wales","NSW",-37.202549,149.603593,"-37.202549,149.603593"
"2550-Yankees Creek","2550","Yankees Creek","Sydney","New South Wales","NSW",-36.488027,149.544864,"-36.488027,149.544864"
"2550-Yowrie","2550","Yowrie","Sydney","New South Wales","NSW",-36.297586,149.717828,"-36.297586,149.717828"
"2551-Boydtown","2551","Boydtown","Sydney","New South Wales","NSW",-37.10475,149.879014,"-37.10475,149.879014"
"2551-Eden","2551","Eden","Sydney","New South Wales","NSW",-37.06319,149.903702,"-37.06319,149.903702"
"2551-Edrom","2551","Edrom","Sydney","New South Wales","NSW",-37.102459,149.928892,"-37.102459,149.928892"
"2551-Green Cape","2551","Green Cape","Sydney","New South Wales","NSW",-37.260999,150.049332,"-37.260999,150.049332"
"2551-Kiah","2551","Kiah","Sydney","New South Wales","NSW",-37.149723,149.856899,"-37.149723,149.856899"
"2551-Nadgee","2551","Nadgee","Sydney","New South Wales","NSW",-37.333007,149.805836,"-37.333007,149.805836"
"2551-Narrabarba","2551","Narrabarba","Sydney","New South Wales","NSW",-37.246066,149.819973,"-37.246066,149.819973"
"2551-Nullica","2551","Nullica","Sydney","New South Wales","NSW",-37.092825,149.839036,"-37.092825,149.839036"
"2551-Nungatta","2551","Nungatta","Sydney","New South Wales","NSW",-37.153431,149.386096,"-37.153431,149.386096"
"2551-Timbillica","2551","Timbillica","Sydney","New South Wales","NSW",-37.358462,149.722269,"-37.358462,149.722269"
"2551-Wonboyn","2551","Wonboyn","Sydney","New South Wales","NSW",-37.251046,149.914953,"-37.251046,149.914953"
"2551-Wonboyn Lake","2551","Wonboyn Lake","Sydney","New South Wales","NSW",-37.251046,149.914953,"-37.251046,149.914953"
"2551-Wonboyn North","2551","Wonboyn North","Sydney","New South Wales","NSW",-37.23331,149.911196,"-37.23331,149.911196"
"2555-Badgerys Creek","2555","Badgerys Creek","Sydney","New South Wales","NSW",-33.883376,150.741351,"-33.883376,150.741351"
"2556-Bringelly","2556","Bringelly","Sydney","New South Wales","NSW",-33.945707,150.725207,"-33.945707,150.725207"
"2557-Catherine Field","2557","Catherine Field","Sydney","New South Wales","NSW",-33.993545,150.774858,"-33.993545,150.774858"
"2557-Rossmore","2557","Rossmore","Sydney","New South Wales","NSW",-33.945965,150.772763,"-33.945965,150.772763"
"2558-Eagle Vale","2558","Eagle Vale","Sydney","New South Wales","NSW",-34.037882,150.814153,"-34.037882,150.814153"
"2558-Eschol Park","2558","Eschol Park","Sydney","New South Wales","NSW",-34.031357,150.80968,"-34.031357,150.80968"
"2558-Kearns","2558","Kearns","Sydney","New South Wales","NSW",-34.021321,150.803211,"-34.021321,150.803211"
"2559-Blairmount","2559","Blairmount","Sydney","New South Wales","NSW",-34.049485,150.799611,"-34.049485,150.799611"
"2559-Claymore","2559","Claymore","Sydney","New South Wales","NSW",-34.045524,150.810024,"-34.045524,150.810024"
"2560-Airds","2560","Airds","Sydney","New South Wales","NSW",-34.084468,150.829041,"-34.084468,150.829041"
"2560-Ambarvale","2560","Ambarvale","Sydney","New South Wales","NSW",-34.080467,150.803644,"-34.080467,150.803644"
"2560-Appin","2560","Appin","Sydney","New South Wales","NSW",-34.200891,150.787479,"-34.200891,150.787479"
"2560-Blair Athol","2560","Blair Athol","Sydney","New South Wales","NSW",-34.063835,150.806007,"-34.063835,150.806007"
"2560-Bradbury","2560","Bradbury","Sydney","New South Wales","NSW",-34.086006,150.814016,"-34.086006,150.814016"
"2560-Campbelltown","2560","Campbelltown","Sydney","New South Wales","NSW",-34.067441,150.812522,"-34.067441,150.812522"
"2560-Campbelltown North","2560","Campbelltown North","Sydney","New South Wales","NSW",-34.06584,150.82489,"-34.06584,150.82489"
"2560-Cataract","2560","Cataract","Sydney","New South Wales","NSW",-34.261883,150.804049,"-34.261883,150.804049"
"2560-Englorie Park","2560","Englorie Park","Sydney","New South Wales","NSW",-34.082052,150.795131,"-34.082052,150.795131"
"2560-Gilead","2560","Gilead","Sydney","New South Wales","NSW",-34.107035,150.761815,"-34.107035,150.761815"
"2560-Glen Alpine","2560","Glen Alpine","Sydney","New South Wales","NSW",-34.084184,150.775275,"-34.084184,150.775275"
"2560-Kentlyn","2560","Kentlyn","Sydney","New South Wales","NSW",-34.073171,150.85743,"-34.073171,150.85743"
"2560-Leumeah","2560","Leumeah","Sydney","New South Wales","NSW",-34.052285,150.833396,"-34.052285,150.833396"
"2560-Macarthur Square","2560","Macarthur Square","Sydney","New South Wales","NSW",-34.076256,150.798055,"-34.076256,150.798055"
"2560-Rosemeadow","2560","Rosemeadow","Sydney","New South Wales","NSW",-34.101795,150.800106,"-34.101795,150.800106"
"2560-Ruse","2560","Ruse","Sydney","New South Wales","NSW",-34.069283,150.844069,"-34.069283,150.844069"
"2560-St Helens Park","2560","St Helens Park","Sydney","New South Wales","NSW",-34.112264,150.798121,"-34.112264,150.798121"
"2560-Wedderburn","2560","Wedderburn","Sydney","New South Wales","NSW",-34.127555,150.812698,"-34.127555,150.812698"
"2560-Woodbine","2560","Woodbine","Sydney","New South Wales","NSW",-34.049892,150.818872,"-34.049892,150.818872"
"2563-Menangle Park","2563","Menangle Park","Sydney","New South Wales","NSW",-34.100121,150.757016,"-34.100121,150.757016"
"2564-Glenquarie","2564","Glenquarie","Sydney","New South Wales","NSW",-33.986032,150.89171,"-33.986032,150.89171"
"2564-Long Point","2564","Long Point","Sydney","New South Wales","NSW",-34.016437,150.898579,"-34.016437,150.898579"
"2564-Macquarie Fields","2564","Macquarie Fields","Sydney","New South Wales","NSW",-33.989471,150.882626,"-33.989471,150.882626"
"2565-Denham Court","2565","Denham Court","Sydney","New South Wales","NSW",-33.990081,150.844653,"-33.990081,150.844653"
"2565-Ingleburn","2565","Ingleburn","Sydney","New South Wales","NSW",-33.998718,150.866344,"-33.998718,150.866344"
