SuburbPostCodeKey,PostCodeNew,Suburb,City,State,State_Code,Latitude,Longitude,LatLong
"3122-Hawthorn North","3122","Hawthorn North","Melbourne","Victoria","VIC",-37.828845,145.007261,"-37.828845,145.007261"
"3122-Hawthorn West","3122","Hawthorn West","Melbourne","Victoria","VIC",-37.819687,145.017455,"-37.819687,145.017455"
"3123-Auburn","3123","Auburn","Melbourne","Victoria","VIC",-37.832121,145.044832,"-37.832121,145.044832"
"3123-Hawthorn East","3123","Hawthorn East","Melbourne","Victoria","VIC",-37.782254,145.001811,"-37.782254,145.001811"
"3124-Camberwell","3124","Camberwell","Melbourne","Victoria","VIC",-37.824818,145.057957,"-37.824818,145.057957"
"3124-Camberwell North","3124","Camberwell North","Melbourne","Victoria","VIC",-37.825705,145.068352,"-37.825705,145.068352"
"3124-Camberwell South","3124","Camberwell South","Melbourne","Victoria","VIC",-37.825705,145.068352,"-37.825705,145.068352"
"3124-Camberwell West","3124","Camberwell West","Melbourne","Victoria","VIC",-37.840088,145.093634,"-37.840088,145.093634"
"3124-Hartwell","3124","Hartwell","Melbourne","Victoria","VIC",-37.843985,145.075562,"-37.843985,145.075562"
"3124-Middle Camberwell","3124","Middle Camberwell","Melbourne","Victoria","VIC",-37.844,145.056955,"-37.844,145.056955"
"3125-Bennettswood","3125","Bennettswood","Melbourne","Victoria","VIC",-37.844825,145.115681,"-37.844825,145.115681"
"3125-Burwood","3125","Burwood","Melbourne","Victoria","VIC",-37.852805,145.151909,"-37.852805,145.151909"
"3125-Surrey Hills South","3125","Surrey Hills South","Melbourne","Victoria","VIC",-37.835047,145.096407,"-37.835047,145.096407"
"3126-Camberwell East","3126","Camberwell East","Melbourne","Victoria","VIC",-37.840195,145.094524,"-37.840195,145.094524"
"3126-Canterbury","3126","Canterbury","Melbourne","Victoria","VIC",-37.824249,145.073114,"-37.824249,145.073114"
"3127-Mont Albert","3127","Mont Albert","Melbourne","Victoria","VIC",-37.821232,145.104996,"-37.821232,145.104996"
"3127-Surrey Hills","3127","Surrey Hills","Melbourne","Victoria","VIC",-37.825077,145.097412,"-37.825077,145.097412"
"3127-Surrey Hills North","3127","Surrey Hills North","Melbourne","Victoria","VIC",-37.834288,145.096516,"-37.834288,145.096516"
"3128-Box Hill","3128","Box Hill","Melbourne","Victoria","VIC",-37.817455,145.119314,"-37.817455,145.119314"
"3128-Box Hill Central","3128","Box Hill Central","Melbourne","Victoria","VIC",-37.819107,145.121273,"-37.819107,145.121273"
"3128-Box Hill South","3128","Box Hill South","Melbourne","Victoria","VIC",-37.828744,145.121843,"-37.828744,145.121843"
"3128-Houston","3128","Houston","Melbourne","Victoria","VIC",-37.844706,145.130113,"-37.844706,145.130113"
"3128-Wattle Park","3128","Wattle Park","Melbourne","Victoria","VIC",-37.839076,145.104165,"-37.839076,145.104165"
"3129-Box Hill North","3129","Box Hill North","Melbourne","Victoria","VIC",-37.801761,145.126869,"-37.801761,145.126869"
"3129-Kerrimuir","3129","Kerrimuir","Melbourne","Victoria","VIC",-37.805767,145.136413,"-37.805767,145.136413"
"3129-Mont Albert North","3129","Mont Albert North","Melbourne","Victoria","VIC",-37.807247,145.11205,"-37.807247,145.11205"
"3130-Blackburn","3130","Blackburn","Melbourne","Victoria","VIC",-37.819374,145.153852,"-37.819374,145.153852"
"3130-Blackburn North","3130","Blackburn North","Melbourne","Victoria","VIC",-37.810403,145.1521,"-37.810403,145.1521"
"3130-Blackburn South","3130","Blackburn South","Melbourne","Victoria","VIC",-37.831666,145.146719,"-37.831666,145.146719"
"3130-Laburnum","3130","Laburnum","Melbourne","Victoria","VIC",-37.821142,145.145303,"-37.821142,145.145303"
"3131-Brentford Square","3131","Brentford Square","Melbourne","Victoria","VIC",-37.837379,145.183948,"-37.837379,145.183948"
"3131-Forest Hill","3131","Forest Hill","Melbourne","Victoria","VIC",-37.834099,145.166527,"-37.834099,145.166527"
"3131-Nunawading","3131","Nunawading","Melbourne","Victoria","VIC",-37.820037,145.175726,"-37.820037,145.175726"
"3132-Mitcham","3132","Mitcham","Melbourne","Victoria","VIC",-37.816878,145.193712,"-37.816878,145.193712"
"3132-Mitcham North","3132","Mitcham North","Melbourne","Victoria","VIC",-37.837478,145.170024,"-37.837478,145.170024"
"3132-Rangeview","3132","Rangeview","Melbourne","Victoria","VIC",-37.805715,145.200802,"-37.805715,145.200802"
"3133-Vermont","3133","Vermont","Melbourne","Victoria","VIC",-37.836235,145.194651,"-37.836235,145.194651"
"3133-Vermont South","3133","Vermont South","Melbourne","Victoria","VIC",-37.856647,145.183576,"-37.856647,145.183576"
"3134-Ringwood","3134","Ringwood","Melbourne","Victoria","VIC",-37.81402,145.227362,"-37.81402,145.227362"
"3134-Ringwood North","3134","Ringwood North","Melbourne","Victoria","VIC",-37.787064,145.2356,"-37.787064,145.2356"
"3134-Warrandyte South","3134","Warrandyte South","Melbourne","Victoria","VIC",-37.759339,145.233973,"-37.759339,145.233973"
"3134-Warranwood","3134","Warranwood","Melbourne","Victoria","VIC",-37.774017,145.2483,"-37.774017,145.2483"
"3135-Bedford Road","3135","Bedford Road","Melbourne","Victoria","VIC",-37.820951,145.246663,"-37.820951,145.246663"
"3135-Heathmont","3135","Heathmont","Melbourne","Victoria","VIC",-37.830334,145.244356,"-37.830334,145.244356"
"3135-Ringwood East","3135","Ringwood East","Melbourne","Victoria","VIC",-37.812999,145.247551,"-37.812999,145.247551"
